row_id,English,Reference Igbo,source,english_token_count,reference_token_count
0,"The LORD God made a woman from the rib which he had taken from the man, and brought her to the man.","Mgbe ahụ, Onyenwe anyị Chineke ji otu ọgịrịga o si n'ahụ nwoke ahụ wepụta, mee nwanyị, dutere ya nwoke ahụ.",Bible,24,26
1,Others jailed includes; Adamu Mohammed who is 22 years and a native of Gombe state,"Ụfọdụ ndị ọzọ atụrụ mkpọrọ bụ Adamu Mohammed dị afọ 22, ma bụrụ onye Gombe steetị.",JHW,16,18
2,"For who makes you different? And what do you have that you didn't receive? But if you did receive it, why do you boast as if you had not received it?","Onye gwara gị na ị pụrụ iche n'etiti mmadụ ndị ọzọ? Ọ dị ihe ọbụla i nwere nke abụghị ihe ị natara anata? Ọ bụ gịnị ka i nwere nke ị na-anataghị anata? Ma ọ bụrụ na i natara ya, gịnị mere i ji anya isi dịka a ga-asị na ị nataghị ya anata?",Bible,37,65
3,"you want to buy something, go to these places","Ị chọrọ izu ihe, gaa ebe ndị a",JHW,10,9
4,"This company has stopped work there and sacked her workers,as the investigation is on going","Ụlọọrụ a akwụsịla ọrụ n'ebe ahụ ma chụpụ ndị ọrụ ya, dịka nyocha ka na-aga n'ihu.",JHW,17,24
5,"After about one hour passed, another confidently affirmed, saying, ""Truly this man also was with him, for he is a Galilean!""","Mgbe ihe dị ka otu awa gafere, onye ọzọ bịakwara kwusie okwu ike, ""N'ezie, nwoke a so ya n'ihi na ọ bụ onye Galili.""",Bible,28,34
6,"He found a fresh jawbone of a donkey, put out his hand, took it, and struck a thousand men with it.","Mgbe ahụ Samsin lere anya gburugburu, hụ ọkpụkpụ agba ịnyịnya ibu nke tọgbọrọ n'ala n'ebe ahụ. Ọ tụtụlitere ya, were ya tigbuo puku ndị agha Filistia.",Bible,25,34
7,"But he abandoned the counsel of the old men which they had given him, and took counsel with the young men who had grown up with him, who stood before him.","Ma ọ nabataghị ndụmọdụ ndị okenye nyere ya, ọ gakwuru ụmụ okorobịa ndị ya na ha tokọrọ, bụkwa ndị na-ejere ya ozi, ka ha nye ya ndụmọdụ.",Bible,34,33
8,The Federal Government could have simply increased the capacity of existing institutions to provide better manpower and training in the sector.,Gọọmentị etiti gaara enyekwu ikike nye ụlọ ọrụ ndị dị ugbu a iji nye ndị mmadụ ọzụzụ kachasị mma na mpaghara ahụ .,JHW,22,23
9,"Stop Attacking Shoprite In Nigeria, They're Owned By Nigerians -Expert Warns",Kwụsị ịwakpo oke ụlọahịa na mba Naịjirịa. Ọ bụ ụmụ afọ Naịjirịa  nwe ha-Ọkachamara dọrọ aka na ntị,JHW,15,21
10,"Inaugrating Igbo BBC, the words of Nnamdi Kanu's wife to the world, reappearing of Nnamdi Kanu is one of the news that brought uproar in Igbo land in 2018","Mmepe BBC Igbo, okwu nwunye Nnamdi Kanu gwara ụwa, mpụtagharị Nnamdi Kanu so n'ụfọdụ akụkọ mere ka Igbo nwuru ọkụ n'afọ 2018.",JHW,33,29
11,"All his sons and all his daughters rose up to comfort him, but he refused to be comforted. He said, ""For I will go down to Sheol to my son, mourning."" His father wept for him.","Ụmụ ya ndị ikom na ụmụ ya ndị inyom niile bịara ịkasị ya obi, ma ọ jụrụ ịnabata nkasiobi ọbụla. Ọ sịrị, ""Aga m alakwuru nwa m n'ala mmụọ site n'iru ụjụ."" Nna ya kwagidere akwa n'ihi ya.",Bible,44,51
12,"until the LORD looks down, and sees from heaven.",tutu ruo mgbe Onyenwe anyị ga-esite n'eluigwe ledata anya ma hụ.,Bible,11,16
13,He said that he did this for his love for Imo state especially the youths,O kwuru na o mere nke a n'ihi ịhụnanya o nwere n'ebe Imo steeti nọ karịa ndị ntoroọbịa ya.,JHW,15,24
14,You get avocado pear everywhere in the world. ,I nwere ike inweta Ubebekee uwa nile gburugburu,JHW,9,8
15,There is a cool 'war' in the Senate among the geo-political zones in the country following penultimate Wednesday's reintroduction of a bill seeking to establish the South East Development Commission.,E nwere agha zoro ezo na sineti n'etiti mpaghara ọchịchị nke ala anyị nke sitere n' iwebatagharị iwu na-achọ ka ewube ọrụ mmepe mpaghara South East n' Wenzidee abụọ gara aga.,JHW,37,38
16,"How often is it that they are as stubble before the wind, as chaff that the storm carries away?","Ugboro ole ka ha dịka ahịhịa kpọrọ nkụ n'ihu ikuku, maọbụ dịka igbugbo ọka nke ikuku siri ike na-efesasị?",Bible,21,25
17,"They rose up early in the morning and went up to the top of the mountain, saying, ""Behold, we are here, and will go up to the place which the LORD has promised; for we have sinned.""","N'isi ụtụtụ echi ya, ha biliri n'oge bulie ije ịga n'ala ugwu ugwu ahụ. Ha sịrị, ""Anyị emehiela. Ugbu a anyị ejikerela ije n'ala ahụ Onyenwe anyị kwere anyị nkwa.""",Bible,45,45
18,"In Dikwa, 500 people have been rendered homeless due to flooding and have set up home in disused registration centres .","Na Dịkwa, mmadụ 500 aburula ndị enweghị ebe obibi n'ihi ịde mmiri ma hiwe ụlọ n'ụlọ ebe ndị a na-edebe akwụkwọ maka ndị a na-akwabeghị.",JHW,22,35
19,"if they return to you with all their heart and with all their soul in the land of their captivity, where they have been taken captive, and pray toward their land which you gave to their fathers, and the city which you have chosen, and toward the house which I have built for your name;","Ọ bụrụ na ha ejiri obi ha na mmụọ ha niile chegharịa, n'ala ebe ndọta n'agha ha, bụ ebe a kpọrọ ha gaa, ma kpee ekpere nye gị chee ihu ha n'ụzọ ala a nke i nyere nna nna ha, n'obodo a nke ị họpụtara, ya na n'ụlọnsọ ukwu a m wuru nye Aha gị",Bible,60,70
20,"And no wonder, for even Satan masquerades as an angel of light.","Ma omume ha adịghị eju m anya, n'ihi na ekwensu gbanwere onwe ya dịrị ka mmụọ ozi na-enye ìhè.",Bible,14,25
21,"No weapon that is formed against you will prevail; and you will condemn every tongue that rises against you in judgment. This is the heritage of the LORD's servants, and their righteousness is of me,"" says the LORD.","N'ụbọchị ahụ, ọ dịghị ihe agha a kpụrụ megide gị nke ga-adị ire. Ọzọ, ị ga-emeri ndị niile kpọrọ gị ikpe mmegide. N'ihi na nke a bụ ihe nketa dịrị ndị ohu Onyenwe anyị. Mkpepụta ha na-esite na m."" Otu a ka Onyenwe anyị kwubiri ya.",Bible,46,64
22,Youtube is a company under Google,Youtube bụ ụlọọrụ nọ n'ọkpuru Google,JHW,6,8
