English,Reference Igbo,Predicted Igbo
"and Shallum became the father of Jekamiah, and Jekamiah became the father of Elishama.","Shalum bụ nna Jekamaya, ebe Jekamaya mụrụ Elishama.","Belum ghọrọ nna Jkmila, Jkna ghọkwara nna Ịlaịshama."
"These are the sons of Bilhah, whom Laban gave to Rachel, his daughter, and these she bore to Jacob: all the souls were seven.","Ndị a bụ ụmụ ndị ikom a mụụrụ Jekọb site na Bilha, odibo nwanyị ahụ Leban kpọnyere nwa ya nwanyị Rechel. Ha niile dị asaa.","Ụmụ ndị a bụ ụmụ nwanyị iri na abụọ ahụ Leban nyere Rechel, nwa ya nwanyị, na ndị a ọ mụrụ nye Jekọb: mkpụrụ obi nile bụ asaa."
people were commenting on social media like Twitter.,"Na soshal midia di ka Twitter, ndi mmadụ na-ekwu maka ihe na-eme.",Ndị mmadụ nọ na - ekwu banyere usoro mgbasa ozi ndị dị ka Terter.
You were running well! Who interfered with you that you should not obey the truth?,"Unu na-agbabu ọsọ nke ọma, onye gbochiri unu ikwenyere eziokwu ahụ?",Ònye gwara gị na i kwesịghị irube isi n'eziokwu ahụ?
"It will never be inhabited, neither will it be lived in from generation to generation. The Arabian will not pitch a tent there, neither will shepherds make their flocks lie down there.",Ọ gaghị abụ ebe obibi ọzọ ruo mgbe ebighị ebi. Site n'otu ọgbọ ruo n'ọgbọ ọzọ ndị mmadụ agaghị ebi n'ime ya. Ọ dịghị onye Arebịa na-ejegharị ejegharị ga-ama ụlọ ikwu ya n'ime ya; ndị ọzụzụ atụrụ agaghị ekwe ka atụrụ ha makpuru n'ebe ahụ.,"Ọ dịghị mgbe a ga - ebi n'ime ya, ọ dịghịkwa mgbe ọ ga - adị site n'otu ọgbọ ruo ọgbọ ọzọ."
Mr Okereke said that his office was in charge of collecting value added and withholding taxes from all government agencies in Anambra State.,Mazị Okereke kwuru na ụlọ ọrụ ya na-ahụ maka ịnakọta uru agbakwunyere ma na-anapụ ụtụ isi n'ụlọ ọrụ gọọmentị niile na steeti Anambra.,Onyeisi ndị uwe ojii ahụ kwuru na ụlọ ọrụ ya na - ahụ maka ịkwụ ụtụ isi n'ụlọ ọrụ gọọmenti nile dị na Anambra State nakwa na ya anaghị ana ụtụ isi.
Buhari said that he has not forgotten his promise on the release of the Chibok girls who were kindnapped by the Boko Haram 5 years ago from their school,Buhari kwuru na ya echọzọbeghị nkwa ya kwere ịgbapụta ụmụaka Chibok ndị Boko Haram tọrọ afo ise gara aga n'ụlọakwụkwọ ha.,Bovae kwuru na ya echefughị nkwa o kwere na a ga - atọhapụ ụmụ agbọghọ ndị Boko Haam n'afọ 5 gara aga n'ụlọ akwụkwọ ha
The heads of commonwealth are meeting to discuss whether the child of the king of whales will represent the father as the head of a branch comprising 53 nations.,Ndị isi Commonwealth na-ezukọ ka ha kparịta ụka ị chọputa ma nwaeze Wales a ga-anọchite anaya nne ya dịka onyeisi ga-chi ngalaba jikọtara obodo 53.,Ndị isi nke ụlọ ọrụ ndị nkịtị na - ezukọ iji kwurịta ma nwa eze nke anụ ọhịa bea ọ̀ ga - anọchi anya nna ya dị ka onyeisi nke alaka nke mba 53 mejupụtara.
"Another person, name withheld, said that their problems are due to Lagos state government's involvement in the motor services sector.",Onye ọzọ na ebe ahụ achoghi ka akpọ aha ha sịrị na nsogbu ha sitere n'aka ndọrọndọro ndị ngalaba gọọmenti Lagos aka ha dị na gbụrụgbụrụ na ọrụ ụgbọala.	 	 ,"Onye ọzọ, bụ́ onye a na - akpọghị aha ya, kwuru na nsogbu ha bụ n'ihi otú gọọmenti Lagos si na - ekere òkè n'ọrụ ịnya ụgbọala."
"for the weapons of our warfare are not of the flesh, but mighty before God to the throwing down of strongholds,","N'ihi na ngwa agha anyị ji ebu agha, abụghị ngwa agha nke mmadụ nkịtị nke ụwa, kama ha nwere ike nke mmụọ ịla ebe niile e wusiri ike n'iyi.","N'ihi na ngwá agha anyị ji ebu agha abụghị nke anụ ahụ́, kama ọ bụ ịdị ike n'ihu Chineke iji kpochapụ ebe ndị e wusiri ike,"
